feature,builtin_importance,builtin_rank,shap_importance,shap_rank,rank_difference
V14,0.69039106,1,0.0013499771523064303,1,0
V4,0.053324364,2,0.0008648720727919506,2,0
V12,0.018999679,4,0.0005993556338572266,3,1
V3,0.012004626,9,0.0005293233537673852,4,5
V1,0.0070118066,19,0.00046459156758562643,5,14
V8,0.013885396,8,0.00042170453897295786,6,2
V11,0.00980856,13,0.0003655002827964185,7,6
V25,0.0052599614,24,0.0002308197170622035,8,16
V5,0.008521931,17,0.00018188156215496,9,8
V10,0.020597404,3,0.00018150342000273231,10,7
V18,0.008989023,15,0.00017701670812169044,11,4
hours,0.0040300796,27,0.00014931674007676626,12,15
V7,0.011852592,10,0.0001472071405900599,13,3
V6,0.0037582086,28,0.00014391750710772834,14,14
Amount,0.01462355,6,0.00013817541937707905,15,9
